ID,Name,Gender,Birthday,Place of Birth
35742,Shah Rukh Khan,Male,1965-11-02,"New Delhi, Delhi, India"
55061,Kajol,Female,1974-08-05,"Mumbai, Maharashtra, India"
691,Amrish Puri,Male,1932-06-22,"Jalandhar, Punjab, India"
6217,Anupam Kher,Male,1955-03-07,"Shimla, Himachal Pradesh, India"
35759,Satish Shah,Male,1951-06-25,"Bombay, India"
504,Tim Robbins,Male,1958-10-16,"West Covina, California, USA"
192,Morgan Freeman,Male,1937-06-01,"Memphis, Tennessee, USA"
4029,Bob Gunton,Male,1945-11-15,"Santa Monica, California, USA"
6574,Clancy Brown,Male,1959-01-05,"Urbana, Ohio, USA"
6576,Mark Rolston,Male,1956-12-07,"Baltimore, Maryland, USA"
3084,Marlon Brando,Male,1924-04-03,"Omaha, Nebraska, USA"
1158,Al Pacino,Male,1940-04-25,"New York City, New York, USA"
3085,James Caan,Male,1940-03-26,"The Bronx, New York, USA"
3087,Robert Duvall,Male,1931-01-05,"San Diego, California, USA"
225730,Ryunosuke Kamiki,Male,1993-05-19,"Saitama, Japan"
1369100,Mone Kamishiraishi,Female,1998-01-27,"Kagoshima, Kagoshima Prefecture, Japan"
87637,Masami Nagasawa,Female,1987-06-03,"Iwata, Shizuoka Prefecture, Japan"
91288,Etsuko Ichihara,Female,1936-01-24,"Chiba, Chiba Prefecture, Japan"
1668610,Ryou Narita,Male,1993-11-22,"Saitama Prefecture, Japan"
3896,Liam Neeson,Male,1952-06-07,"Ballymena, County Antrim, Northern Ireland, UK"
2282,Ben Kingsley,Male,1943-12-31,"Yorkshire, England, UK"
5469,Ralph Fiennes,Male,1962-12-22,"Ipswich, Suffolk, England, UK"
6692,Caroline Goodall,Female,1959-11-13,"London, England, UK"
587506,Shameik Moore,Male,1995-05-04,Atlanta - Georgia - USA
543505,Jake Johnson,Male,1978-05-28,"Evanston, Illinois, USA"
130640,Hailee Steinfeld,Female,1996-12-11,"Los Angeles, California, USA"
932967,Mahershala Ali,Male,1974-02-16,"Oakland, California, USA"
1158,Al Pacino,Male,1940-04-25,"New York City, New York, USA"
3087,Robert Duvall,Male,1931-01-05,"San Diego, California, USA"
3092,Diane Keaton,Female,1946-01-05,"Los Angeles, California, USA"
380,Robert De Niro,Male,1943-08-17,"Greenwich Village, New York City, New York, USA"
3096,John Cazale,Male,1935-08-12,"Boston, Massachusetts, USA"
19588,Miyu Irino,Male,1988-02-19,"Tokyo, Japan"
19589,Mari Natsuki,Female,1952-05-02,Tokyo - Japan
119243,Bunta Sugawara,Male,1933-08-16,"Sendai, Miyagi, Japan"
31,Tom Hanks,Male,1956-07-09,"Concord, California, USA"
