,ID,Name,Gender,Birthday,Place of Birth
0,4027,Frank Darabont,Male,1959-01-28,"Montbéliard, Doubs, France"
1,1776,Francis Ford Coppola,Male,1939-04-07,"Detroit, Michigan, USA"
2,74091,Makoto Shinkai,Male,1973-02-09,"Nagano Prefecture, Japan"
3,488,Steven Spielberg,Male,1946-12-18,Cincinnati - Ohio - USA
4,1776,Francis Ford Coppola,Male,1939-04-07,"Detroit, Michigan, USA"
5,608,Hayao Miyazaki,Male,1941-01-05,Tokyo
6,4027,Frank Darabont,Male,1959-01-28,"Montbéliard, Doubs, France"
7,4818,Roberto Benigni,Male,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Arezzo, Italia"
8,5602,David Lynch,Male,1946-01-20,"Missoula, Montana, USA"
9,138,Quentin Tarantino,Male,1963-03-27,"Knoxville, Tennessee, USA"
10,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
11,525,Christopher Nolan,Male,1970-07-30,"London, England, UK"
12,7467,David Fincher,Male,1962-08-28,"Denver, Colorado, USA"
13,24,Robert Zemeckis,Male,1951-05-14,"Chicago, Illinois, USA"
14,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
15,77921,Hideaki Anno,Male,1960-05-22,"Ube, Yamaguchi, Japan"
16,77923,Kazuya Tsurumaki,Male,1966-02-02,"Gosen, Niigata Prefecture, Japan"
17,39996,Sidney Lumet,Male,1924-06-25,"Philadelphia, Pennsylvania, USA"
18,4385,Sergio Leone,Male,1929-01-03,"Rome, Italy"
19,628,Isao Takahata,Male,1935-10-29,"Ujiyamada, Mie prefecture, Japan"
20,108,Peter Jackson,Male,1961-10-31,"Pukerua Bay, North Island, New Zealand"
21,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
22,7396,Peter Farrelly,Male,1956-12-17,"Phoenixville, Pennsylvania, USA"
23,3974,Miloš Forman,Male,1932-02-18,"Čáslav, Československo"
24,65314,Giuseppe Tornatore,Male,1956-05-27,"Bagheria, Sicilia, Italia"
25,136495,Damien Chazelle,Male,1985-01-19,"Providence, Rhode Island, USA"
26,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
27,4385,Sergio Leone,Male,1929-01-03,"Rome, Italy"
28,76978,Masaki Kobayashi,Male,1916-02-14,"Otaru, Hokkaidō, Japan"
29,3146,Billy Wilder,Male,1906-06-22,"Sucha, Galicia, Austria-Hungary"
30,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
31,102560,Guel Arraes,Male,1953-12-12,"Recife, Pernambuco, Brazil"
32,814,Tony Kaye,Male,1946-01-11,"London, United Kingdom"
33,608,Hayao Miyazaki,Male,1941-01-05,Tokyo
34,8557,Fernando Meirelles,Male,1955-11-09,"São Paulo, São Paulo, Brazil"
35,10930,Irvin Kershner,Male,1923-04-29,"Philadelphia, Pennsylvania, USA"
36,608,Hayao Miyazaki,Male,1941-01-05,Tokyo
37,10099,Park Chan-wook,Male,1963-08-23,"Seoul, South Korea"
38,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
39,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
40,2690,Peter Weir,Male,1944-08-21,"Sydney, New South Wales, Australia"
41,143593,Xavier Dolan,Male,1989-03-20,"Montréal, Québec, Canada"
42,95501,Yasujirō Ozu,Male,1903-12-12,"Tokyo, Japan"
43,3146,Billy Wilder,Male,1906-06-22,"Sucha, Galicia, Austria-Hungary"
44,1202504,Alessio Cremonini,Male,1973-01-01,"Roma, Italia"
45,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
46,59,Luc Besson,Male,1959-03-18,"Paris, France"
47,78160,Luca Guadagnino,Male,1971-08-10,"Palermo, Italy"
48,65314,Giuseppe Tornatore,Male,1956-05-27,"Bagheria, Sicilia, Italia"
49,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
50,1466181,Hugh Welchman,Male,1975-01-01,"Bracknell, Regno Unito"
51,1003237,Dorota Kobiela,Female,1978-01-01,"Bytom, Polonia"
52,3556,Roman Polański,Male,1933-08-18,"Paris, France"
53,7467,David Fincher,Male,1962-08-28,"Denver, Colorado, USA"
54,8452,Andrei Tarkovsky,Male,1932-04-04,Yuryevetsky District
55,6648,Ingmar Bergman,Male,1918-07-14,"Uppsala, Uppsala län, Sweden"
56,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
57,108,Peter Jackson,Male,1961-10-31,"Pukerua Bay, North Island, New Zealand"
58,525,Christopher Nolan,Male,1970-07-30,"London, England, UK"
59,19272,Joe Russo,Male,1971-07-08,"Cleveland, Ohio, USA"
60,19271,Anthony Russo,Male,1970-02-03,"Cleveland, Ohio, USA"
61,16294,Jonathan Demme,Male,1944-02-22,"Baldwin, Long Island, New York, USA"
62,108,Peter Jackson,Male,1961-10-31,"Pukerua Bay, North Island, New Zealand"
63,4385,Sergio Leone,Male,1929-01-03,"Rome, Italy"
64,8578,Daniel Rezende,Male,1975-05-05,"São Paulo, São Paulo, Brazil"
65,84426,Olivier Nakache,Male,1973-04-15,"Suresnes, Francia"
66,84425,Eric Toledano,Male,1967-07-03,"Parigi, Francia"
67,1051305,Oriol Paulo,Male,1975-01-01,"Barcelona, Spain"
68,19311,Stephen Chbosky,Male,1970-01-25,"Pittsburgh, Pennsylvania, United States"
69,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
70,88967,Greg Berlanti,Male,1972-05-24,"Rye, New York"
71,24,Robert Zemeckis,Male,1951-05-14,"Chicago, Illinois, USA"
72,8452,Andrei Tarkovsky,Male,1932-04-04,Yuryevetsky District
73,1333461,Kheiron,Male,1982-11-21,"Tehran, Iran"
74,992866,Takahiro Omori,Male,1965-06-25,"Tokyo, Tokyo Prefecture, Japan"
75,525,Christopher Nolan,Male,1970-07-30,"London, England, UK"
76,3146,Billy Wilder,Male,1906-06-22,"Sucha, Galicia, Austria-Hungary"
77,2662,Frank Capra,Male,1897-05-18,"Bisacquino, Sicilia, Italia"
78,68,Fritz Lang,Male,1890-12-05,"Vienna, Austria-Hungary"
79,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
80,81718,Mamoru Hosoda,Male,1967-09-19,"Nakaniikawa District, Toyama, Japan"
81,9032,Bryan Singer,Male,1965-09-17,"New York City, New York, USA"
82,93406,Elem Klimov,Male,1933-07-09,"Stalingrad, Soviet Union"
83,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
84,10099,Park Chan-wook,Male,1963-08-23,"Seoul, South Korea"
