,directorID,movieID
0,4027,278
1,1776,238
2,74091,372058
3,488,424
4,1776,240
5,608,129
6,4027,497
7,4818,637
8,5602,452522
9,138,680
10,2636,539
11,525,155
12,7467,550
13,24,13
14,5026,346
15,77921,18491
16,77923,18491
17,39996,389
18,4385,311
19,628,12477
20,108,122
21,1032,769
22,7396,490132
23,3974,510
24,65314,11216
25,136495,244786
26,13848,901
27,4385,429
28,76978,14537
29,3146,599
30,13848,914
31,102560,40096
32,814,73
33,608,4935
34,8557,598
35,10930,1891
36,608,128
37,10099,290098
38,5026,3782
39,240,975
40,2690,207
41,143593,265177
42,95501,18148
43,3146,37257
44,1202504,538362
45,2636,567
46,59,101
47,78160,398818
48,65314,10376
49,13848,3082
50,1466181,339877
51,1003237,339877
52,3556,423
53,7467,807
54,8452,895
55,6648,797
56,5026,12493
57,108,120
58,525,27205
59,19272,299536
60,19271,299536
61,16294,274
62,108,121
63,4385,335
64,8578,429210
65,84426,77338
66,84425,77338
67,1051305,411088
68,19311,406997
69,13848,10098
70,88967,449176
71,24,105
72,8452,1398
73,1333461,498249
74,992866,92321
75,525,157336
76,3146,284
77,2662,1585
78,68,19
79,2636,426
80,81718,110420
81,9032,629
82,93406,25237
83,5026,548
84,10099,670
85,1776,28
86,97202,14696
87,4415,422
88,18898,8587
89,15812,8587
90,240,694
91,525,77
92,9032,424694
93,11572,780
94,1,11
95,10601,705
96,54472,359940
97,12329,5156
98,3146,996
99,240,185
100,3146,239
101,6648,490
102,8635,992
103,12329,833
104,628,149871
105,37846,19542
106,68424,19542
107,138,500
108,96676,110416
109,40333,10494
110,1032,103
111,1173102,334543
112,115174,237791
113,240,935
114,2746,654
115,68,832
116,525,1124
117,5026,11878
118,18392,10242
119,6648,614
120,608,8392
121,10517,961
122,8635,961
123,83281,264644
124,793,29264
125,13848,28978
126,66121,470044
127,13294,872
128,13284,872
129,4109,289
130,8,354912
131,4415,439
132,1032,1422
133,1150,111
134,20640,10997
135,55789,50014
136,138,16869
137,578,98
138,40,15
139,11218,426426
140,1650,147
141,4610,92060
142,4762,7345
143,77965,205596
144,15378,1092
145,21684,11423
146,240,600
147,5026,11712
148,488,857
149,12453,843
150,6593,3090
151,108536,18438
152,1032,11324
153,11343,12445
154,31894,42229
155,9340,603
156,9339,603
157,201,38
158,5026,1059
159,13848,28971
160,5026,11645
161,9956,662
162,8193,582
163,8482,595
164,4410,307
165,5216,489
166,9577,9277
167,2559,204
168,2461,324786
169,5231,387
170,578,348
171,2303,655
172,137427,46738
