postid,movieid,datasource
0,19404,twitter
1,19404,twitter
2,19404,twitter
3,19404,twitter
4,19404,twitter
5,19404,twitter
6,19404,twitter
7,19404,twitter
8,19404,twitter
9,19404,twitter
10,19404,twitter
11,19404,twitter
12,19404,twitter
13,19404,twitter
14,19404,twitter
15,19404,twitter
16,19404,twitter
17,19404,twitter
18,19404,twitter
19,19404,twitter
20,19404,twitter
21,19404,twitter
22,19404,twitter
23,19404,twitter
24,19404,twitter
25,19404,twitter
26,19404,twitter
27,19404,twitter
28,19404,twitter
29,19404,twitter
30,19404,twitter
31,19404,twitter
32,19404,twitter
33,19404,twitter
34,19404,twitter
35,19404,twitter
36,19404,twitter
37,19404,twitter
38,19404,twitter
39,19404,twitter
40,19404,twitter
41,19404,twitter
42,19404,twitter
43,19404,twitter
44,19404,twitter
45,19404,twitter
46,19404,twitter
47,19404,twitter
48,19404,twitter
49,19404,twitter
50,19404,twitter
51,19404,twitter
52,19404,twitter
53,19404,twitter
54,19404,twitter
55,19404,twitter
56,19404,twitter
57,19404,twitter
58,19404,twitter
59,19404,twitter
60,19404,twitter
61,19404,twitter
62,19404,twitter
63,19404,twitter
64,19404,twitter
65,19404,twitter
66,19404,twitter
67,19404,twitter
68,19404,twitter
69,19404,twitter
70,19404,twitter
71,19404,twitter
72,19404,twitter
73,19404,twitter
74,278,twitter
75,278,twitter
76,278,twitter
77,278,twitter
78,278,twitter
79,278,twitter
80,278,twitter
81,278,twitter
82,278,twitter
83,278,twitter
84,278,twitter
85,278,twitter
86,278,twitter
87,278,twitter
88,278,twitter
89,278,twitter
90,278,twitter
91,278,twitter
92,278,twitter
93,278,twitter
94,278,twitter
95,278,twitter
96,278,twitter
97,278,twitter
98,278,twitter
99,278,twitter
100,278,twitter
101,278,twitter
102,278,twitter
103,278,twitter
104,278,twitter
105,278,twitter
106,278,twitter
107,278,twitter
108,278,twitter
109,278,twitter
110,278,twitter
111,278,twitter
112,278,twitter
113,278,twitter
114,278,twitter
115,278,twitter
116,278,twitter
117,278,twitter
118,278,twitter
119,278,twitter
120,278,twitter
121,278,twitter
122,278,twitter
123,278,twitter
124,278,twitter
125,278,twitter
126,278,twitter
127,278,twitter
128,278,twitter
129,278,twitter
130,278,twitter
131,278,twitter
132,278,twitter
133,278,twitter
134,278,twitter
135,278,twitter
136,278,twitter
137,278,twitter
138,278,twitter
139,278,twitter
140,278,twitter
141,278,twitter
142,278,twitter
143,278,twitter
144,278,twitter
145,278,twitter
146,278,twitter
147,278,twitter
148,278,twitter
149,278,twitter
150,278,twitter
151,278,twitter
152,278,twitter
153,278,twitter
154,278,twitter
155,278,twitter
156,278,twitter
157,278,twitter
158,278,twitter
159,278,twitter
160,278,twitter
161,238,twitter
162,238,twitter
163,238,twitter
164,238,twitter
165,238,twitter
166,238,twitter
167,238,twitter
168,238,twitter
169,238,twitter
170,238,twitter
171,238,twitter
172,238,twitter
173,238,twitter
174,238,twitter
175,238,twitter
176,238,twitter
177,238,twitter
178,238,twitter
179,238,twitter
180,238,twitter
181,238,twitter
182,238,twitter
183,238,twitter
184,238,twitter
185,238,twitter
186,238,twitter
187,238,twitter
188,238,twitter
189,238,twitter
190,238,twitter
191,238,twitter
192,238,twitter
193,238,twitter
194,238,twitter
195,238,twitter
196,238,twitter
197,238,twitter
198,238,twitter
199,238,twitter
200,238,twitter
201,238,twitter
202,238,twitter
203,238,twitter
204,238,twitter
205,238,twitter
206,238,twitter
207,238,twitter
208,238,twitter
209,238,twitter
210,238,twitter
211,238,twitter
212,238,twitter
