userid,username,follower,datasource
3903350238,•⭐✴EUNICE✴⭐•,410,twitter
2182438333,Alchetron.com,55790,twitter
1016626898686894080,Neha♡,137,twitter
960223647398072320,Ashik Latchman,60,twitter
1351485715,‎zahraa 💫,648,twitter
1053644944928321536,Makki jutt,5,twitter
1030105275200561153,Lisa,221,twitter
361255591,shironeko,42,twitter
1070098735131189248,Juan Sánchez Romero,47,twitter
82691311,𝙰𝙼𝚁𝙸𝚂𝙷𝚄,854,twitter
847129967154614273,Safiyyah,168,twitter
767345859193401344,Dinisha 🌼,172,twitter
856470781966077952,Ãmãñ Sëkhõñ,30,twitter
26070225,eggramsci 🍳,2163,twitter
36323511,ET Panache,29962,twitter
1656288236,make ur momma sad type.,858,twitter
431806491,Kay🐝,823,twitter
635388531,Come at me bro,185,twitter
608005118,Darshan Natha,344,twitter
612814236,Himali,544,twitter
45070259,Sheryl Riar,859,twitter
195745757,fira,273,twitter
243144606,Raj-Bitu Kang,92,twitter
767772426000138240,Foxton News,20,twitter
31632905,mid-day,638762,twitter
2991077426,Ronak Saraf,138,twitter
25119460,Desi-Box,9618,twitter
2750445959,SOHAIL ❤️,754,twitter
1047684521288593408,Nirmal Srkian 🇮🇳 Srkian follow 💯 follow back,542,twitter
1233472513,Jamir Tadvi,125,twitter
1016912153620766721,minnie 🌸,1377,twitter
839845850,Nelizar Khan,1587,twitter
2191703749,Daily Times,29186,twitter
952720072996524032,Hazza did a Mazza ॐ,869,twitter
958275179200659457,ERK,155,twitter
845905071418204160,PeepingMoon,3862,twitter
777012865551085568,Zara(SRKian),329,twitter
407714359,Azhar⚡️,1107,twitter
828841083257778176,LatestLY,29700,twitter
885776649677090817,rhea,571,twitter
2169586122,ST FEnil DEsai,320,twitter
2561563488,ena,335,twitter
1075802410042486784,$₹k!@n फैज़ान...,91,twitter
790079834189918208,Aju Agranayak,257,twitter
628067748,Aakash Agarwal,414,twitter
3374588837,ĞÅűŘÄV,548,twitter
2270025817,Inayat Siddiqui 👈,443,twitter
721773848899817472,Nauman Sadiq,485,twitter
1420407517,Samruddhi,1698,twitter
99928370,Koimoi.com,206757,twitter
2974304162,Bollywood Reporter,4943,twitter
4590909027,SRK's Devotee,491,twitter
3180299719,Shauvik.Harry SRKFAN,1396,twitter
748417919378292736,Faisal Khan,895,twitter
113813808,KASHIF,4380,twitter
4600397785,Suryaa Telugu News,974,twitter
2766182874,Nitish Shekhar,4825,twitter
34245009,India TV,675404,twitter
985155492178681856,Angelia SRKian,10,twitter
4609810634,Rohit Gaba,0,twitter
369332641,Flip .,198,twitter
117036324,Stripes Publishing,13277,twitter
